bookId,bookName,bookUrl,bookImg,bookAuthor,bookRating,bookRatingPeople,bookIntro
,,,,,,,
3228144,Principles of Digital Communication,https://book.douban.com/subject/3228144/,https://img9.doubanio.com/view/subject/s/public/s4307126.jpg,Robert G. Gallager ,9.7,(27人评价),The renowned communications theorist Robert Gallager brings his lucid writing ...
35627255,鲜枣课堂：5G通识讲义,https://book.douban.com/subject/35627255/,https://img9.doubanio.com/view/subject/s/public/s34025755.jpg,周圣君 ,8.9,(11人评价),本书用图文搭配的方式搭建了关于5G的知识框架，提供了有趣、实用、丰富、浅显易懂的内容。本书共11章，从5G的演进背景开始，介绍什么是5G，为什么要有5G，接...
2152330,无线通信基础,https://book.douban.com/subject/2152330/,https://img9.doubanio.com/view/subject/s/public/s5829334.jpg,(美)David Tse;Pramod Viswanath ,8.7,(46人评价),《无线通信基础》由无线通信领域新一代权威Tse根据教学实际编写而成，已被加州大学伯克利分校、麻省理工学院等众多名校和高通等世界知名公司作为教材。《无线通信基...
35044751,5G移动通信系统设计与标准详解,https://book.douban.com/subject/35044751/,https://img9.doubanio.com/view/subject/s/public/s33750285.jpg,王映民 孙韶辉 ,null,null,本书全面系统地介绍了5G移动通信系统设计与标准协议。第一部分（第1-3章）系统概述与标准体系，主要介绍移动通信及5G发展的总体情况、5G系统的网络架构与标准...
1320174,信息论基础,https://book.douban.com/subject/1320174/,https://img9.doubanio.com/view/subject/s/public/s8488134.jpg,"[美] Thomas M.Cover,Joy A.Thomas ",9.1,(89人评价),信息论基础，ISBN：9787111162452，作者：（美）Thomas M.Cover，（美）Joy A.Thomas著；阮吉寿，张华译
1645358,"Antenna Theory : Analysis and Design, 3rd Edition",https://book.douban.com/subject/1645358/,https://img9.doubanio.com/view/subject/s/public/s4335884.jpg,Constantine A. Balanis ,9.3,(27人评价),The discipline of antenna theory has experienced vast technological changes. I...
1859351,Fundamentals of Wireless Communication,https://book.douban.com/subject/1859351/,https://img3.doubanio.com/view/subject/s/public/s7042470.jpg,David Tse、Pramod Viswanath ,9.2,(57人评价),The past decade has seen many advances in physical layer wireless communicatio...
1177412,光纤通信原理,https://book.douban.com/subject/1177412/,https://img9.doubanio.com/view/subject/s/public/s8973625.jpg,袁国良 ,null,null,本书主要介绍了光纤通信的发展；光纤通信的物理学基础；光纤的组成及原理；光源、光电检测器的结构和工作原理；光缆和光纤通信器件；光发射机、光接收机以及光纤通信系...
24773294,Designing Distributed Control Systems A Pattern Language Approach,https://book.douban.com/subject/24773294/,https://img9.doubanio.com/view/subject/s/public/s29396984.jpg,"Eloranta, Eero ",null,null,
30208944,深入浅出通信原理,https://book.douban.com/subject/30208944/,https://img2.doubanio.com/view/subject/s/public/s33920593.jpg,陈爱军 ,8.5,(107人评价),
1190072,数字集成电路 : 电路、系统与设计,https://book.douban.com/subject/1190072/,https://img2.doubanio.com/view/subject/s/public/s10443373.jpg,拉贝艾 ,9.0,(124人评价),《国外电子与通信教材系列·数字集成电路:电路、系统与设计(第2版)》由美国加州大学伯克利分校JanM.Rabaey教授撰写。全书共12章，分为三个部分：基本...
27038266,LTE学习笔记 : 从无线优化到端到端优化,https://book.douban.com/subject/27038266/,https://img9.doubanio.com/view/subject/s/public/s29444215.jpg,郭宝、张阳、刘波 ,null,null,本书着重讲解LTE网络各种业务的端到端优化分析方法，对数据、语音业务从终端支持的方式开始讲解，从不同接口的协议栈框架到端到端流程涉及的信令流程进行详尽的阐述...
26757693,无线通信 : 第二版,https://book.douban.com/subject/26757693/,https://img1.doubanio.com/view/subject/s/public/s29107259.jpg,[美] Andreas F. Molisch ,null,null,经典译丛·信息与通信技术：无线通信（第二版）》系统讲解无线通信原理、技术和系统设计所涉及的各个方面。 《经典译丛·信息与通信技术：无线通信（第二版）》内容共...
33474750,浪潮之巅（第四版）（上下册）,https://book.douban.com/subject/33474750/,https://img1.doubanio.com/view/subject/s/public/s32513229.jpg,吴军 ,9.1,(2164人评价),这不只是一部科技产业发展历史集…… 更是在这个智能时代，一部IT人非读不可，而非IT人也应该阅读的作品。 一个企业的发展与崛起，绝非只是空有领导强人即可达成...
35026879,认识光通信,https://book.douban.com/subject/35026879/,https://img1.doubanio.com/view/subject/s/public/s33666237.jpg,机械工业出版社 ,null,null,本书为普及光通信技术知识而编写。本书运用通俗的语言和生动的插图对光纤通信、大气光通信、蓝绿光通信、可见光通信及量子通信的一些基本概念进行了系统的阐述，本书无...
1803843,信号与系统结构精析,https://book.douban.com/subject/1803843/,https://img2.doubanio.com/view/subject/s/public/s10426661.jpg,Edward A.Lee、Pravin Varaiya ,8.4,(14人评价),本书是关于“信号与系统”的导论，是来自加州大学伯克利分校相关课程讲稿的精髓，以有趣的实际应用激发读者兴趣，结合许多实验资料和丰富的教学资源，展现给读者一本完...
17380548,Optical Wireless Communications System and Channel Modelling with MATLAB,https://book.douban.com/subject/17380548/,https://img9.doubanio.com/view/subject/s/public/s20459694.jpg,"Ghassemlooy, Zabih; Popoola, Wasiu; Rajbhandari, Sujan",null,null,
10602568,4G移动通信技术权威指南 : LTE与LTE-Advanced,https://book.douban.com/subject/10602568/,https://img1.doubanio.com/view/subject/s/public/s9071299.jpg,[瑞典] Erik Dahlman ,6.4,(17人评价),内容简介： 本书是《3G演进：HSPA与LTE（第2版）》的升级版，专注于LTE和LTE-Advanced（LTE第10版），全面概述了LTE的基本技术以及...
28479177,大话核心网（第2版）,https://book.douban.com/subject/28479177/,https://img2.doubanio.com/view/subject/s/public/s29669962.jpg,陈学梁 ,null,null,本书根据核心网演进的脉络，采用浅显易懂的类比方式，描述了程控交换、七号信令、NGN网络、SIP协议、IMS网络、UMTS PS核心网、LTE EPC核心网、...
3611722,用万用表修手机,https://book.douban.com/subject/3611722/,https://img2.doubanio.com/view/subject/s/public/s6001133.jpg,周立云,null,null,《用万用表修手机》从维修的角度出发，由浅入深，由简到繁，从手机的基础知识着手，介绍用万用表维修普通手机、多功能手机、智能手机、3G手机的方法与技巧，以典型机...
3235768,3GPP长期演进,https://book.douban.com/subject/3235768/,https://img9.doubanio.com/view/subject/s/public/s3368585.jpg,沈嘉等 ,7.9,(58人评价),本书系统地介绍了3GPP长期演进(LTE)的技术原理和系统设计。全书分为9章，第1章首先介绍了LTE产生的背景，然后概述了LTE的重要技术特点；第2章介绍了...
4703192,信息论与编码,https://book.douban.com/subject/4703192/,https://img9.doubanio.com/view/subject/s/public/s6138475.jpg,姜丹 ,9.2,(30人评价),《信息论与编码(第3版)》系统论述香农信息论的基本理论，介绍编码的基本方法。全书共分12章。内容包括：信息的定义、信息论的基本思路；单符号离散信源与信道、信...
33368924,Microwave RF Antennas and Circuits: Nonlinearity Applications in Engineering,https://book.douban.com/subject/33368924/,https://img3.doubanio.com/view/subject/s/public/s32257920.jpg,,null,null,"This book describes a new concept for analyzing RF/microwave circuits, which i..."
35713902,春天终将来临 : 大卫·霍克尼在诺曼底,https://book.douban.com/subject/35713902/,https://img1.doubanio.com/view/subject/s/public/s34078008.jpg,大卫·霍克尼、马丁·盖福德 ,9.2,(373人评价),“我们失去了与大自然的联系，这是相当愚蠢的，因为我们是它的一部分，而不是置身其外。疫情迟早会结束，然后呢？我们从中学到了什么呢？……生活中唯一真实的东西就是...
21359219,信号与系统 : 信号与系统,https://book.douban.com/subject/21359219/,https://img2.doubanio.com/view/subject/s/public/s25507582.jpg,Alan V. Oppenheim、Alan S. Willsky ,9.8,(184人评价),《国外电子与通信教材系列:信号与系统(第2版)》是美国麻省理工学院（MIT）的经典教材之一，讨论了信号与系统分析的基本理论、基本分析方法及其应用。全书共分1...
1189694,业余无线电通信,https://book.douban.com/subject/1189694/,https://img9.doubanio.com/view/subject/s/public/s9917416.jpg,童效勇 ,9.2,(53人评价),《业余无线电通信》(修订本)既可作为开展业余电台活动的教材，也可作为业余无线电爱好者的自修读本和手册。相信本书的出版一定会对我国业余电台活动的健康发展起到重...
5989758,Microstrip and Printed Antennas,https://book.douban.com/subject/5989758/,https://img9.doubanio.com/view/subject/s/public/s6777006.jpg,"Guha, Debatosh; Antar, Yahia M. M.; ",null,null,"This book focuses on new techniques, analysis, applications and future trends ..."
